location_id,count_date,bucket,value,source
cedar-rapids,2026-08-25,Beer,6046.57,csv
cedar-rapids,2026-08-25,Liquor,3930.45,csv
cedar-rapids,2026-08-25,Wine,1832.56,csv
cedar-rapids,2026-08-25,NA Bev,713.22,csv
cedar-rapids,2026-08-25,Retail,3359.07,csv
des-moines,2026-08-25,Food,11125.83,csv
des-moines,2026-08-25,Beer,7445.76,csv
des-moines,2026-08-25,Liquor,6052.91,csv
des-moines,2026-08-25,Wine,2587.2,csv
des-moines,2026-08-25,NA Bev,1155.85,csv
des-moines,2026-08-25,Retail,4718.28,csv
coralville,2026-08-25,Food,7310.15,csv
coralville,2026-08-25,Beer,5115.65,csv
coralville,2026-08-25,Liquor,4100.62,csv
coralville,2026-08-25,Wine,1745.4,csv
coralville,2026-08-25,NA Bev,697.03,csv
coralville,2026-08-25,Retail,3332.95,csv
davenport,2026-08-25,Food,6066.9,csv
davenport,2026-08-25,Beer,4994.91,csv
davenport,2026-08-25,Liquor,3739.46,csv
davenport,2026-08-25,Wine,1585.97,csv
davenport,2026-08-25,NA Bev,691.73,csv
davenport,2026-08-25,Retail,2644.45,csv
solon,2026-09-08,Food,9160.69,csv
solon,2026-09-08,Beer,7364.37,csv
solon,2026-09-08,Liquor,5730.4,csv
solon,2026-09-08,Wine,1871.39,csv
solon,2026-09-08,NA Bev,797.84,csv
solon,2026-09-08,Retail,4127.07,csv
iowa-city,2026-09-08,Food,10647.97,csv
iowa-city,2026-09-08,Beer,8135.05,csv
iowa-city,2026-09-08,Liquor,6153.38,csv
iowa-city,2026-09-08,Wine,2994.9,csv
iowa-city,2026-09-08,NA Bev,1325.47,csv
iowa-city,2026-09-08,Retail,6378.92,csv
cedar-rapids,2026-09-08,Food,6914.58,csv
cedar-rapids,2026-09-08,Beer,5932.66,csv
cedar-rapids,2026-09-08,Liquor,4671.43,csv
cedar-rapids,2026-09-08,Wine,1607.21,csv
cedar-rapids,2026-09-08,NA Bev,860.03,csv
cedar-rapids,2026-09-08,Retail,4104.95,csv
des-moines,2026-09-08,Food,9420.44,csv
des-moines,2026-09-08,Beer,8437.01,csv
des-moines,2026-09-08,Liquor,5761.46,csv
des-moines,2026-09-08,Wine,2390.83,csv
des-moines,2026-09-08,NA Bev,1179.73,csv
des-moines,2026-09-08,Retail,5278.72,csv
coralville,2026-09-08,Food,6353.25,csv
coralville,2026-09-08,Beer,5002.22,csv
coralville,2026-09-08,Liquor,4104.84,csv
coralville,2026-09-08,Wine,1570.36,csv
coralville,2026-09-08,NA Bev,642.6,csv
coralville,2026-09-08,Retail,3120.34,csv
davenport,2026-09-08,Food,6514.15,csv
davenport,2026-09-08,Beer,3774.89,csv
davenport,2026-09-08,Liquor,3585.79,csv
davenport,2026-09-08,Wine,1399.55,csv
davenport,2026-09-08,NA Bev,522.42,csv
davenport,2026-09-08,Retail,2705.93,csv
